Device Name: RMX3363
roomPosNo\commonAPlist,CSE_204_r1c1_i,CSE_204_r1c2_i,CSE_204_r1c3_i,CSE_204_r1c4_i,CSE_204_r2c1_i,CSE_204_r2c2_i,CSE_204_r2c3_i,CSE_204_r2c4_i,CSE_204_r3c1_i,CSE_204_r3c2_i,CSE_204_r3c3_i,CSE_204_r3c4_i,CSE_204_r4c1_i,CSE_204_r4c2_i,CSE_204_r4c3_i,CSE_204_r4c4_i,CSE_204_r0c0_o,CSE_204_r1c0_o,CSE_204_r2c0_o,CSE_204_r3c0_o,CSE_204_r4c0_o,CSE_204_r0c1_o,CSE_204_r0c2_o,CSE_204_r0c3_o,CSE_204_r0c4_o,CSE_204_r0c5_o
Hall of Fame,-68,-72,-68,-71,-70,-66,-64,-70,-71,-70,-67,-59,-70,-73,-62,-65,-83,-73,-75,-72,-79,-83,-73,-70,-67,-58
CSE-206,-57,-64,-58,-67,-53,-56,-57,-62,-44,-52,-64,-58,-55,-57,-64,-69,-48,-52,-48,-48,-54,-47,-54,-55,-59,-59
CSE-104,-63,-64,-71,-73,-60,-67,-68,-69,-56,-64,-70,-68,-57,-65,-71,-76,-65,-73,-71,-71,-71,-56,-65,-70,-76,-81
CSE-202,-57,-54,-55,-51,-55,-55,-51,-42,-59,-56,-49,-43,-59,-59,-52,-50,-65,-64,-64,-64,-64,-63,-60,-55,-55,-54
CSE-304,-53,-57,-56,-65,-54,-53,-55,-55,-44,-53,-59,-57,-47,-46,-56,-60,-57,-63,-62,-59,-58,-56,-61,-63,-66,-71
CSE-205,-76,-77,-77,-79,-72,-73,-76,-72,-67,-75,-77,-73,-69,-66,-72,-69,-47,-67,-68,-64,-67,-60,-62,-63,-66,-71
CSE-204,-64,-59,-63,-61,-60,-57,-58,-57,-65,-58,-58,-53,-65,-55,-52,-47,-68,-69,-68,-64,-60,-74,-69,-57,-47,-60
CSE-303,-66,-66,-66,-72,-57,-63,-58,-61,-56,-64,-69,-69,-58,-54,-67,-76,-59,-74,-76,-66,-66,-58,-54,-55,-54,-57
DataLab@BUET,-71,-68,-70,-81,-70,-64,-69,-66,-68,-69,-68,-72,-67,-65,-65,-52,-68,-72,-78,-72,-71,-67,-64,-52,-50,-43
Galaxy M124213,-58,-57,-59,-62,-56,-48,-50,-55,-49,-37,-51,-43,-61,-65,-59,-63,-76,-64,-64,-53,-64,-66,-64,-69,-64,-74
