roomPosNo\commonAPlist,CSE204_1,CSE204_2,CSE204_3,CSE204_4,CSE204_5,CSE204_6,CSE204_7,CSE204_8,CSE204_9,CSE204_10,CSE204_11,CSE204_12,CSE204_13,CSE204_14,CSE204_15,CSE204_16,CSE204_17,CSE204_18
Hall of Fame,-71,-70,-73,-72,-68,-67,-68,-68,-63,-75,-71,-74,-62,-59,-77,-73,-83,-85
CSE-206,-64,-56,-64,-63,-59,-70,-65,-62,-60,-53,-59,-54,-54,-56,-54,-47,-43,-62
CSE-104,-59,-67,-71,-76,-77,-77,-81,-77,-69,-64,-72,-77,-78,-79,-73,-77,-77,-76
CSE-202,-59,-59,-56,-55,-48,-55,-55,-58,-54,-66,-60,-61,-58,-57,-64,-64,-73,-70
CSE-205,-73,-70,-77,-81,-82,-77,-68,-69,-79,-61,-59,-57,-58,-61,-72,-72,-63,-55
CSE-304,-44,-44,-52,-61,-65,-57,-62,-61,-57,-54,-58,-69,-62,-71,-53,-60,-64,-61
CSE-204,-59,-60,-55,-57,-56,-53,-44,-59,-66,-68,-66,-58,-46,-59,-66,-63,-74,-71
CSE-303,-62,-50,-70,-69,-74,-68,-59,-64,-64,-52,-52,-50,-51,-56,-64,-73,-70,-55
Galaxy M124213,-61,-52,-58,-58,-63,-55,-59,-55,-13,-62,-56,-66,-64,-74,-69,-64,-68,-78
DataLab@BUET,-67,-63,-65,-74,-78,-66,-55,-63,-73,-71,-72,-63,-59,-57,-74,-67,-77,-70
