									
	ref1	ref2	ref3	ref4	ref5	ref6	ref7	ref8	ref9
CSE203_1	206.14	204.92	210.1	212.55	213.91	212.77	205.45	203.21	203.11
CSE203_2	204.92	204.64	209.44	212.25	213.52	212.35	204.69	202.86	203.26
CSE203_3	210.1	209.44	214.66	217.35	218.64	217.49	209.74	207.58	208.06
CSE203_4	212.55	212.25	217.35	220.42	221.7	220.52	212.35	210.3	211.39
CSE203_5	213.91	213.52	218.64	221.7	223.18	222.03	213.98	211.76	212.62
CSE203_6	212.77	212.35	217.49	220.52	222.03	221.29	212.96	210.79	212.1
CSE203_7	205.45	204.69	209.74	212.35	213.98	212.96	205.88	203.38	203.24
CSE203_8	203.21	202.86	207.58	210.3	211.76	210.79	203.38	201.5	201.57
CSE203_9	203.11	203.26	208.06	211.39	212.62	212.1	203.24	201.57	204.81
CSE203_10	204.07	203.11	208.31	210.49	211.78	210.31	203.69	201.32	200.2
CSE203_11	199.72	198.91	203.95	206.09	207.3	206.01	199.15	197.07	195.98
CSE203_12	202.85	201.97	207.08	209.46	210.81	209.69	202.6	200.39	199.78
CSE203_13	201.06	200.57	205.5	208.07	209.73	208.63	201.73	199.35	198.53
CSE203_14	203.87	202.98	208.1	210.45	212.05	210.68	204.1	201.64	199.99
CSE203_15	206.94	206.32	211.31	214.04	215.77	214.76	207.55	205.15	204.66
CSE203_16	211.36	210.34	215.56	218.34	220.13	219.16	211.71	209.08	208.79
CSE203_17	208.48	208.12	212.89	215.94	217.69	216.97	209.06	206.93	207.06
