,,,,,,,,,
,ref1,ref2,ref3,ref4,ref5,ref6,ref7,ref8,ref9
CSE204_1,197.23,192.53,200.4,203.98,204.42,200.68,195.56,198.76,193.37
CSE204_2,192.53,188.72,195.82,199.52,199.76,196.24,191.53,194.67,189.87
CSE204_3,200.4,195.82,204.33,208.12,208.74,204.86,199.9,202.83,197.53
CSE204_4,203.98,199.52,208.12,212.33,213.16,208.83,203.8,206.85,201.84
CSE204_5,204.42,199.76,208.74,213.16,214.36,209.49,204.4,207.45,202.13
CSE204_6,200.68,196.24,204.86,208.83,209.49,205.75,200.89,203.63,198.54
CSE204_7,195.56,191.53,199.9,203.8,204.4,200.89,197.04,199.09,192.64
CSE204_8,198.76,194.67,202.83,206.85,207.45,203.63,199.09,202.02,196.67
CSE204_9,193.37,189.87,197.53,201.84,202.13,198.54,192.64,196.67,196.69
CSE204_10,197.46,193.45,200.51,204.41,204.78,200.76,196.16,199.67,193.87
CSE204_11,197.46,193.45,200.51,204.41,204.78,200.76,196.16,199.67,193.87
CSE204_12,197.02,193.31,200.83,204.96,205.56,201.51,197.86,200.52,193.47
CSE204_13,191.25,187.5,195.21,199.21,199.9,196.09,192.55,194.76,187.66
CSE204_14,196.51,192.49,200.48,204.6,205.53,201.36,197.67,200.19,192.4
CSE204_15,204.02,199.66,207.52,211.51,212.17,207.78,202.93,206.31,200.11
CSE204_16,202.59,198.33,206.63,210.66,211.49,206.98,202.32,205.61,199.62
CSE204_17,207.18,203.07,210.86,215.06,215.76,210.99,206.34,210.15,203.86
CSE204_18,205.94,201.85,209.24,213.31,213.69,209.64,205.25,208.63,201.82
