									
	ref1	ref2	ref3	ref4	ref5	ref6	ref7	ref8	ref9
CSE203_1	0	19.57	17.12	26.91	28.12	30.43	21.47	22.54	43.98
CSE203_2	19.57	0	14.9	19.05	22.49	25.67	21.59	13	34.54
CSE203_3	17.12	14.9	0	13.3	16.61	21.1	22	22.29	38.04
CSE203_4	26.91	19.05	13.3	0	9.43	17.2	27.98	27.13	34
CSE203_5	28.12	22.49	16.61	9.43	0	13.67	24.86	26.89	36.57
CSE203_6	30.43	25.67	21.1	17.2	13.67	0	25.51	26.57	30.72
CSE203_7	21.47	21.59	22	27.98	24.86	25.51	0	16.22	41.46
CSE203_8	22.54	13	22.29	27.13	26.89	26.57	16.22	0	35.92
CSE203_9	43.98	34.54	38.04	34	36.57	30.72	41.46	35.92	0
CSE203_10	22.23	25.59	24.19	35.47	37.35	42.45	26.44	28.88	55.48
CSE203_11	27.59	28.07	30.5	40.98	43.63	46.18	33.23	31.06	56.33
CSE203_12	21.54	23.6	24.02	33.2	34.48	36.03	23.6	23.41	48.83
CSE203_13	36.76	33.56	36.39	41.22	39.27	40.31	26.57	28.65	53.11
CSE203_14	34.73	36.18	36.04	42.92	41.41	45.12	30.22	33.44	61.58
CSE203_15	30.1	28.23	28.9	31.97	27.44	28	17.29	22.14	47.27
CSE203_16	30.63	34.22	30.58	32.03	26.1	26.31	23.04	30.92	50.48
CSE203_17	38.77	34.5	37.04	35.45	31.11	27.44	30.17	29.98	46.23
