,,,,,,,,,
,ref1,ref2,ref3,ref4,ref5,ref6,ref7,ref8,ref9
CSE204_1,0,19.49,18.17,27.77,35.76,26.19,35.23,26.44,52.94
CSE204_2,19.49,0,26,32.97,41.92,30.5,32.79,25.24,46.87
CSE204_3,18.17,26,0,14.53,23.56,12.33,25.51,16.7,48.98
CSE204_4,27.77,32.97,14.53,0,12.88,14.04,29.09,18.17,47.87
CSE204_5,35.76,41.92,23.56,12.88,0,22.65,34.93,26.31,54.07
CSE204_6,26.19,30.5,12.33,14.04,22.65,0,21.14,14.66,46.72
CSE204_7,35.23,32.79,25.51,29.09,34.93,21.14,0,19.13,57.36
CSE204_8,26.44,25.24,16.7,18.17,26.31,14.66,19.13,0,46.24
CSE204_9,52.94,46.87,48.98,47.87,54.07,46.72,57.36,46.24,0
CSE204_10,25.55,22.47,32.85,35.47,42.64,38.25,40.07,28.53,56.99
CSE204_11,25.55,22.47,32.85,35.47,42.64,38.25,40.07,28.53,56.99
CSE204_12,38.78,33.44,36.44,36.18,41.05,36.93,27.73,25.2,63.77
CSE204_13,38.14,31.86,35.34,37.82,41.69,33.84,19.6,25.65,62.98
CSE204_14,41.68,39.79,37.91,37.82,39.19,36.26,27.31,26.98,68.73
CSE204_15,24.6,29,23.85,23.83,29.56,30.64,37.6,25.22,59.58
CSE204_16,32.33,34.25,24.31,23.62,26.87,29.78,34.53,22.14,56.73
CSE204_17,45.2,46.16,42.56,39.72,42.83,47.84,51.61,38.5,67.53
CSE204_18,40.22,40.89,41.57,40.29,46.51,44.45,45.97,36.12,69.03
